Depth1,Depth2,Depth3,넘버링,설명,User Action,System Outcome,Dependencies,Acceptance Criteria
보드 뷰,칸반 보드,드래그앤드롭,3.1.2,드래그앤드롭으로 상태 변경,사용자가 이슈 카드를 다른 열로 드래그한다,이슈 상태가 변경되고 활동 내역에 기록된다,3.1.1,드래그 중 시각적 피드백; 드롭 후 즉시 반영; 활동 내역 자동 기록; 모바일 터치 지원
보드 뷰,필터,Swim Lane,,3.2,스윔 레인으로 담당자별 구분,,,,
보드 뷰,Swim Lane,담당자별 레인,3.2.1,담당자별 행(Swim Lane)으로 보드 표시,사용자가 "담당자별 보기"를 선택한다,담당자별 행으로 이슈가 표시된다,3.1.1,행:담당자, 열:상태; 담당자 없음 행 포함; 담당자 순서 설정
보드 뷰,필터,우선순위 필터,3.2.2,우선순위별 이슈 필터,사용자가 우선순위 필터를 선택한다,선택한 우선순위의 이슈만 표시된다,3.1.1,다중 선택 가능; 필터 개수 표시; 필터 초기화 버튼
대시보드,,,4,팀/개인별 대시보드,,,,
대시보드,팀 대시보드,,4.1,팀 전체 현황,,,,
대시보드,팀 대시보드,현황 카드,4.1.1,주요 지표 카드(전체/진행중/완료/연체),사용자가 팀 대시보드에서 주요 지표를 확인한다,지표가 카드로 표시된다,-,전체 이슈 수; 진행 중 이슈 수; 완료 이슈 수; 연체 이슈 수(기간 경과 미완료); 실시간 갱신
대시보드,팀 대시보드,담당자별 배분,4.1.2,담당자별 이슈 배분 차트,사용자가 담당자별 이슈 수를 차트로 확인한다,파이/바 차트이 렌더링된다,-,담당자별 이슈 수; 상태별 색상 구분; 클릭 시 필터 적용
대시보드,팀 대시보드,주간 이슈 추이,4.1.3,주간 이슈 생성/완료 추이,사용자가 최근 7일간 이슈 추이를 확인한다,선 차트가 렌더링된다,-,일별 생성/완료 이슈 수; 누적 선; 기간 설정 가능(7일/30일)
대시보드,개인 대시보드,,4.2,내 할 일 현황,,,,
대시보드,개인 대시보드,내 이슈 목록,4.2.1,나에게 할당된 이슈 목록,사용자가 자신에게 할당된 이슈를 확인한다,내 이슈 목록이 표시된다,-,상태별 그룹핑; 우선순위별 정렬; 빠른 상태 변경 버튼; 마감일 표시
대시보드,개인 대시보드,마감임박,4.2.2,마감 임박 이슈 표시,사용자가 곧 마감되는 이슈를 확인한다,마감 3일 이내 이슈가 하이라이트된다,4.2.1,마감일 기준 정렬; 긴급 표시(색상/아이콘); 알림(옵션)
알림,,,5,이슈 변경 알림,,,,
알림,알림 생성,,5.1,활동 알림 생성,,,,
알림,알림 생성,알림 트리거,5.1.1,이슈 할당/상태 변경/댓글 시 알림 생성,누군가 나에게 이슈를 할당/상태를 변경/댓글을 남긴다,알림이 생성된다,-,할당:담당자 변경 시; 상태 변경:담당자/관찰자에게; 댓글:이슈 참여자에게; 알림 설정에 따름
알림,알림 조회,,5.2,알림 목록 및 읽음 처리,,,,
알림,알림 조회,알림 목록,5.2.1,알림 목록 조회,사용자가 알림 목록을 확인한다,최신 알림이 목록으로 표시된다,5.1.1,시간순 정렬; 안읽음/읽음 구분; 알림 유형 아이콘; 클릭 시 관련 이슈로 이동
알림,알림 조회,읽음 처리,5.2.2,알림 읽음 처리,사용자가 알림을 클릭하거나 "전체 읽음"을 누른다,알림이 읽음으로 표시된다,5.2.1,클릭 시 읽음; "전체 읽음" 버튼; 읽음 카운트 감소
